date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:17	11641/11641	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:57%20GMT	http://learnpythonthehardway.org/book/ex26.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex26.html	(from http://learnpythonthehardway.org/book/)
11:31:17	15853/15853	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex27.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex27.html	(from http://learnpythonthehardway.org/book/)
11:31:17	18273/18273	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:54%20GMT	http://learnpythonthehardway.org/book/ex28.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex28.html	(from http://learnpythonthehardway.org/book/)
11:31:18	14568/14568	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/ex29.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex29.html	(from http://learnpythonthehardway.org/book/)
11:31:19	16144/16144	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:54%20GMT	http://learnpythonthehardway.org/book/ex30.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex30.html	(from http://learnpythonthehardway.org/book/)
11:31:19	17318/17318	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex31.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex31.html	(from http://learnpythonthehardway.org/book/)
11:31:19	22182/22182	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex32.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex32.html	(from http://learnpythonthehardway.org/book/)
11:31:19	18547/18547	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex33.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex33.html	(from http://learnpythonthehardway.org/book/)
11:31:20	14741/14741	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:55%20GMT	http://learnpythonthehardway.org/book/ex34.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex34.html	(from http://learnpythonthehardway.org/book/)
11:31:20	23600/23600	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202014%2000:59:56%20GMT	http://learnpythonthehardway.org/book/ex35.html	c:/temp/websites/python_book/learnpythonthehardway.org/book/ex35.html	(from http://learnpythonthehardway.org/book/)
